306964,tt4163020,0.393642,0,0,Tales of Halloween,Keir Gilchrist|Pollyanna McIntosh|Samuel Witwer|Booboo Stewart|Adrienne Barbeau,,Darren Lynn Bousman|Axelle Carolyn|Adam Gierasch|Andrew Kasch|Neil Marshall|Lucky McKee|Ryan Schifrin|Mike Mendez|Dave Parker|John Skipp|Paul Solet,One town. One night. Ten chilling stories.,witch|based on novel|halloween|death|evil,"Ten stories from horror's top directors. Ghosts, ghouls, monsters, and the devil delight in terrorizing unsuspecting residents of a suburban neighborhood on Halloween night. This creepy anthology combines classic Halloween tales with the stuff of nightmares.",90,Horror,Epic Pictures Group|Film Entertainment Services,10/16/15,74,5.3,2015,0,0
137106,tt1490017,3.327799,60000000,469160692,The Lego Movie,Will Arnett|Elizabeth Banks|Craig Berry|Alison Brie|David Burrows,http://www.thelegomovie.com,Phil Lord|Christopher Miller,The story of a nobody who saved everybody.,father-son relationship|creativity|friendship|part live action|toys,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together.",100,Adventure|Fantasy|Animation|Comedy|Action,Village Roadshow Pictures|DC Comics|Vertigo Entertainment|Lin Pictures|Warner Bros. Animation,2/6/14,2268,7.5,2014,55265463.0462875,432139714.774945
193726,tt2926810,0.453382,0,7171,ABCs of Death 2,Eric Jacobus|Julian Barratt|Ian Virgo|Miguel Ãngel MuÃ±oz|Dana Meinrath,,Chris Nash|Rodney Ascher|Bill Plympton|Erik Matti|Lancelot Oduwa Imasuen|Kristina Buozyte|Bruno Samper|Vincenzo Natali|Larry Fessenden|Julien Maury|Alexandre Bustillo|E.L. Katz|Sylvia Soska|Jen Soska|Aharon Keshales|Navot Papushado|Julian Gilbey|Dennison Ramalho|Jerome Sable|Robert Morgan|Hajime Ohata|SÃ´ichi Umezawa|Alejandro BruguÃ©s|Todd Rohal|Julian Barratt|Jim Hosking|Robert Boocheck|Marvin Kren|Juan MartÃ­nez Moreno|Steven Kostanski,Some people never learn,anthology|woman director|horror anthology,"Taking all that was great from the first installment, ABCs OF DEATH 2 aims to be a wilder, leaner, faster paced and even more entertaining anthology this time around, with a new crop of award-winning, visionary filmmakers from around the globe.",125,Horror,Magnet Releasing|Drafthouse Films|Timpson Films,10/2/14,44,5.4,2014,0,6605.14392508213
12572,tt0808399,1.037708,14700000,8049666,"New York, I Love You",Natalie Portman|Shia LaBeouf|Orlando Bloom|Christina Ricci|Hayden Christensen,,Natalie Portman|Fatih Akin|Mira Nair|Allen Hughes|Yvan Attal|Shunji Iwai|Brett Ratner|Joshua Marston|Shekhar Kapur|Randall Balsmeyer|Wen Jiang,,new york|city portrait|woman director,"Ten vignettes in New York City: a pickpocket meets his match; a young Hasidic woman, on the eve of her marriage, reveals herself to an Indian businessman; a writer tries a pick-up line; an artist seeks a model; a composer needs to read; two women connect; a man takes a child to Central Park; lovers meet; a couple takes a walk on their anniversary; a kid goes to the prom with a girl in a wheelchair; a retired singer contemplates suicide. There are eight million stories in the naked city: these have been ten of them.",103,Drama|Comedy|Romance,Vivendi Entertainment,10/16/09,116,5.6,2009,14941086.3816368,8181684.01696087
19901,tt0433362,0.966959,20000000,51416464,Daybreakers,Ethan Hawke|Sam Neill|Willem Dafoe|Claudia Karvan|Isabel Lucas,http://www.daybreakersmovie.com/,Michael Spierig|Peter Spierig,"In 2019, The Most Precious Natural Resource... Is Us.",female nudity|sunrise|waitress|experiment|rain,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vampires on a way to save humankind.",98,Fantasy|Horror|Action|Thriller|Science Fiction,Lionsgate|Furst Films|Pictures in Paradise|Pacific Film and Television Commission|Australian Film Finance Corporation (AFFC),1/6/09,368,5.9,2009,20328008.682499,52259716.33077
189197,tt0374463,0.757081999999999,120000000,0,The Pacific,James Badge Dale|Joseph Mazzello|Jon Seda|Ashton Holmes|William Sadler,http://www.hbo.com/the-pacific/index.html,Jeremy Podeswa|Tim Van Patten|David Nutter|Graham Yost|Carl Franklin|Tony To,Hell was an ocean away,world war ii|tv mini-series|hbo,"A 10-part mini-series from the creators of ""Band of Brothers"" telling the intertwined stories of three Marines during America's battle with the Japanese in the Pacific during World War II.",540,War|Drama|Action|Adventure|History,Playtone|HBO|DreamWorks Television,5/16/10,183,7.8,2010,120000000,0
49948,tt0120910,0.617279,80000000,90874570,Fantasia 2000,Steve Martin|Quincy Jones|Bette Midler|James Earl Jones|Penn Jillette,,Paul Brizzi|Hendel Butoy|Francis Glebas|Eric Goldberg|Don Hahn|Pixote Hunt|James Algar|GaÃ«tan Brizzi,,orchestra|mickey mouse|whale|music|animation,An update of the original film with new interpretations of great works of classical music.,74,Music|Animation|Family|Fantasy,Walt Disney Pictures|Walt Disney Television Animation|Richard Purdum Productions|Walt Disney Feature Animation,12/31/99,168,6.9,1999,104724227.727545,118959614.541535
331214,tt0185906,0.537593,0,125000000,Band of Brothers,Damian Lewis|Ron Livingston|Frank John Hughes|Frank John Hughes|Scott Grimes,http://www.hbo.com/band-of-brothers,Phil Alden Robinson|Richard Loncraine|Mikael Salomon|David Nutter|Tom Hanks|David Leland|David Frankel|Tony To,Ordinary men. Extraordinary times.,world war ii|us army|war|paratroops|combat,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",705,Action|Drama|War,HBO,9/9/01,313,8,2001,0,153936014.58673
84348,tt2105044,0.493944,0,100345,V/H/S,Calvin Lee Reeder|Lane Hughes|Adam Wingard|Hannah Fierman|Mike Donlan,http://www.magnetreleasing.com/vhs/,Matt Bettinelli-Olpin|David Bruckner|Tyler Gillett|Justin Martinez|Glenn McQuaid|Joe Swanberg|Chad Villella|Ti West|Adam Wingard|Radio Silence,This collection is killer.,webcam|anthology|vhs|burglary|split screen,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",116,Horror|Thriller,The Collective|Bloody Disgusting|8383 Productions,7/28/12,227,5.8,2012,0,95302.0899122911
87818,tt1333125,1.020237,6000000,32438988,Movie 43,Dennis Quaid|Greg Kinnear|Common|Charlie Saxton|Will Sasso,,Steven Brill|Elizabeth Banks|Steve Carr|Rusty Cundieff|James Duffy|Griffin Dunne|Peter Farrelly|Patrik Forsberg|James Gunn|Brett Ratner|Will Graham|Jonathan van Tulleken,The biggest cast ever assembled for the most outrageous comedy ever made.,slapstick|ensemble cast|duringcreditsstinger|woman director,"The film is composed of multiple comedy shorts presented through an overarching segment titled ""The Pitch"", in which Charlie Wessler, a mad screenwriter, is attempting to pitch a script to film executive Griffin Schraeder. After revealing several of the stories in his script, Wessler becomes agitated when Schraeder dismisses his outrageous ideas, and he pulls a gun on him and forces him to listen to multiple other stories before making Schraeder consult his manager, Bob Mone, to purchase the film.",90,Comedy,Greenestreet Films|Relativity Media|Virgin Produced|Wessler Entertainment|Witness Protection Films,1/1/13,564,4.4,2013,5616200.11644254,30363974.6971464
159117,tt2450186,0.668508,0,21833,V/H/S/2,Adam Wingard|Lawrence Michael Levine|Kelsy Abbott|Hannah Hughes|L.C. Holt,,Simon Barrett|Adam Wingard|Eduardo SÃ¡nchez|Gregg Hale|Timo Tjahjanto|Gareth Evans|Jason Eisener,Who's tracking you?,gore|zombies|alien abduction|found footage|mumblegore,"Inside a darkened house looms a column of TVs littered with VHS tapes, a pagan shrine to forgotten analog gods. The screens crackle and pop endlessly with monochrome vistas of static white noise permeating the brain and fogging concentration. But you must fight the urge to relax: this is no mere movie night. Those obsolete spools contain more than just magnetic tape. They are imprinted with the very soul of evil.",95,Horror|Thriller,The Collective|Bloody Disgusting|8383 Productions|Snoot Entertainment|Haxan Films,6/6/13,174,5.7,2013,0,20436.4161903816
87436,tt1935896,0.313754,0,21660,The ABCs of Death,Ingrid BolsÃ¸ Berdal|Erik Aude|IvÃ¡n GonzÃ¡lez|Kyra Zagorsky|Peter Pedrero,,Angela Bettis|HÃ©lÃ¨ne Cattet|Ernesto DÃ­az Espinoza|Jason Eisener|Bruno Forzani|AdriÃ¡n GarcÃ­a Bogliano|Xavier Gens|Noboru Iguchi|Thomas Cappelen Malling|Jorge Michel Grau|Yoshihiro Nishimura|Banjong Pisanthanakun|Simon Rumley|Marcel Sarmiento|Jon Schnepp|SrÄ‘an SpasojeviÄ‡|Timo Tjahjanto|Andrew Traucki|Nacho Vigalondo|Jake West|Ti West|Ben Wheatley|Adam Wingard|Anders Morgenthaler|YÃ»dai Yamaguchi|Lee Hardcastle|Kaare Andrews,"26 Directors, 26 Ways to Die.",horror|woman director|alphabet|short,"An ambitious anthology film featuring segments directed by over two dozen of the world's leading talents in contemporary genre film. Inspired by children's educational ABC books, the motion picture is comprised of 26 individual chapters, each helmed by a different director assigned a letter of the alphabet. The directors were then given free reign in choosing a word to create a story involving death. Provocative, shocking, funny and ultimately confrontational; THE ABC's OF DEATH is the definitive snapshot of the diversity of modern horror.",123,Horror,Magnet Releasing|Drafthouse Films,6/28/13,98,4.5,2013,0,20274.4824203576
5393,tt0308353,0.340571,0,0,Happily N'Ever After,George Carlin|Andy Dick|Sarah Michelle Gellar|Lisa Kaplan|Michael McShane,http://www.happilyneverafterthefilm.com/,Paul Bolger|Yvette Kaplan|Greg Tiernan,Fairy Tale Endings Aren't What They Used To Be,dwarves|cinderella|wolf|bad mother-in-law|prince,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",75,Fantasy|Animation|Comedy|Science Fiction|Family,Vanguard Films|Lionsgate|Odyssey|Nitrogen Studios Canada,9/14/06,55,4.4,2006,0,0
285923,tt0462322,0.906938,67000000,25037897,Grindhouse,Kurt Russell|ZoÃ« Bell|Rosario Dawson|Vanessa Ferlito|Sydney Tamiia Poitier,,Robert Rodriguez|Eli Roth|Quentin Tarantino|Edgar Wright|Rob Zombie|Jason Eisener,A double feature that'll tear you in two!,exploitation|slasher|zombies|killer,Two full length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two film feature. Including fake movie trailers in between both movies.,191,Thriller|Action|Horror,"Big Talk Productions|Yer Dead Productions|Weinstein Company, The|Dimension Films|Troublemaker Studios",4/6/07,197,6.5,2007,70461795.0363136,26331569.6500646
36108,tt0973844,0.149692,0,0,Chacun son cinema ou Ce petit coup au coeur quand la lumiere s'eteint et que le film commence,Isabelle Adjani|Pegah Ahangarani|Anouk AimÃ©e|Leonid Alexeenko|Taraneh Alidoosti,,Theo Angelopoulos|Olivier Assayas|Bille August|Jane Campion|Youssef Chahine|Chen Kaige|Michael Cimino|Ethan Coen|Joel Coen|David Cronenberg|Jean-Pierre Dardenne|Luc Dardenne|Manoel de Oliveira|Raymond Depardon|Atom Egoyan|Amos Gitai|Alejandro GonzÃ¡lez IÃ±Ã¡rritu|Hou Hsiao-Hsien|Aki KaurismÃ¤ki|Abbas Kiarostami|Takeshi Kitano|Andrei Konchalovsky|Claude Lelouch|Ken Loach|David Lynch|Nanni Moretti|Roman Polanski|RaÃºl Ruiz|Walter Salles|Elia Suleiman|Tsai Ming-Liang|Gus Van Sant|Lars von Trier|Wim Wenders|Wong Kar-wai|Zhang Yimou,,woman director,A collective film of 33 shorts directed by different directors about their feeling about cinema.,100,Comedy|Drama,ElzÃ©vir Films|Cannes Film Festival,5/19/07,10,7.4,2007,0,0
